"No.","Time","Source","Destination","Protocol","Length","Info"
"14547","15.349007","10.100.102.1","10.100.102.6","DNS","158","Standard query response 0x5161 A in.bgu.ac.il A 132.72.118.23 NS dns2.bgu.ac.il NS dns1.bgu.ac.il A 132.72.140.46 A 132.72.140.45"
"14548","15.349007","10.100.102.1","10.100.102.6","DNS","355","Standard query response 0x0b49 A www.googleadservices.com A 216.58.212.194 NS ns3.google.com NS ns4.google.com NS ns1.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"14550","15.349007","10.100.102.1","10.100.102.6","DNS","364","Standard query response 0x2378 A www.google-analytics.com CNAME www-google-analytics.l.google.com A 172.217.169.14 NS ns1.google.com NS ns4.google.com NS ns3.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:38::a"
"14552","15.349007","10.100.102.1","10.100.102.6","DNS","530","Standard query response 0xca65 A cdnjs.cloudflare.com A 104.16.18.94 A 104.16.19.94 NS ns6.cloudflare.com NS ns3.cloudflare.com NS ns7.cloudflare.com NS ns4.cloudflare.com NS ns5.cloudflare.com A 162.159.0.33 A 162.159.7.226 A 162.159.1.33 A 162.159.8.55 A 162.159.2.9 A 162.159.9.55 A 162.159.3.11 A 162.159.5.6 A 162.159.6.6 A 162.159.4.8 AAAA 2400:cb00:2049:1::a29f:21 AAAA 2400:cb00:2049:1::a29f:7e2 AAAA 2400:cb00:2049:1::a29f:121 AAAA 2400:cb00:2049:1::a29f:837 AAAA 2400:cb00:2049:1::a29f:937 AAAA 2400:cb00:2049:1::a29f:209"
"14577","15.354343","10.100.102.1","10.100.102.6","DNS","355","Standard query response 0x0b49 A www.googleadservices.com A 216.58.212.194 NS ns3.google.com NS ns4.google.com NS ns1.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"14581","15.354343","10.100.102.1","10.100.102.6","DNS","530","Standard query response 0xca65 A cdnjs.cloudflare.com A 104.16.18.94 A 104.16.19.94 NS ns6.cloudflare.com NS ns3.cloudflare.com NS ns7.cloudflare.com NS ns4.cloudflare.com NS ns5.cloudflare.com A 162.159.0.33 A 162.159.7.226 A 162.159.1.33 A 162.159.8.55 A 162.159.2.9 A 162.159.9.55 A 162.159.3.11 A 162.159.5.6 A 162.159.6.6 A 162.159.4.8 AAAA 2400:cb00:2049:1::a29f:21 AAAA 2400:cb00:2049:1::a29f:7e2 AAAA 2400:cb00:2049:1::a29f:121 AAAA 2400:cb00:2049:1::a29f:837 AAAA 2400:cb00:2049:1::a29f:937 AAAA 2400:cb00:2049:1::a29f:209"
"14583","15.354343","10.100.102.1","10.100.102.6","DNS","364","Standard query response 0x2378 A www.google-analytics.com CNAME www-google-analytics.l.google.com A 172.217.169.14 NS ns1.google.com NS ns4.google.com NS ns3.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:38::a"
"15149","16.412511","10.100.102.6","10.100.102.1","DNS","87","Standard query 0x0f14 A safebrowsing.googleapis.com"
"15180","16.455631","10.100.102.6","10.100.102.1","DNS","87","Standard query 0x0f14 A safebrowsing.googleapis.com"
"15184","16.487588","10.100.102.1","10.100.102.6","DNS","358","Standard query response 0x0f14 A safebrowsing.googleapis.com A 216.58.212.234 NS ns4.google.com NS ns3.google.com NS ns1.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"15189","16.487588","10.100.102.1","10.100.102.6","DNS","358","Standard query response 0x0f14 A safebrowsing.googleapis.com A 216.58.212.234 NS ns4.google.com NS ns3.google.com NS ns1.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"16809","17.954384","10.100.102.6","10.100.102.1","DNS","83","Standard query 0x4653 A stats.g.doubleclick.net"
