No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,Num of packets
45402,31.238331,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8173858 Win=2143232 Len=0,,,,,,,
45404,31.238331,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8176718 Win=2144000 Len=0,,,,,,,
45405,31.238331,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8179212 Win=2141696 Len=0,,,,,,,
45406,31.238331,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8183502 Win=2139392 Len=0,,,,,,,
45407,31.238331,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8185996 Win=2144256 Len=0,,,,,,,
45416,31.243299,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8188856 Win=2145024 Len=0,,,,,,,
45417,31.243299,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8193146 Win=2145280 Len=0,,,,,,,
45418,31.243299,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8194210 Win=2145280 Len=0,,,,,,,
45423,31.243605,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8198500 Win=2145280 Len=0,,,,,,,
45425,31.244043,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8201360 Win=2145280 Len=0,,,,,,,
45426,31.244043,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8202424 Win=2145280 Len=0,,,,,,,
45430,31.244917,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8209574 Win=2141184 Len=0,,,,,,,
45431,31.247582,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8210638 Win=2145280 Len=0,,,,,,,
45432,31.247582,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8213498 Win=2144000 Len=0,,,,,,,
45433,31.247582,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8218852 Win=2145280 Len=0,,,,,,,
