"No.","Time","Source","Destination","Protocol","Length","Info"
"370","0.547444","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=518913 Win=8361 Len=0"
"371","0.547444","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=521407 Win=8361 Len=0"
"384","0.611598","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=525697 Win=8349 Len=0"
"386","0.611598","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=528557 Win=8353 Len=0"
"387","0.611598","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=529621 Win=8361 Len=0"
"397","0.618619","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=533911 Win=8361 Len=0"
"398","0.618619","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=537835 Win=8361 Len=0"
"408","0.618619","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=542125 Win=8349 Len=0"
"409","0.618619","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=544985 Win=8361 Len=0"
"410","0.618619","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=546049 Win=8361 Len=0"
"420","0.623206","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=548909 Win=8353 Len=0"
"421","0.623206","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=551769 Win=8353 Len=0"
"422","0.623206","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=554263 Win=8361 Len=0"
"423","0.623206","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=557123 Win=8353 Len=0"
"424","0.623206","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=562477 Win=8361 Len=0"
"425","0.623206","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=559983 Win=8353 Len=0"
"428","0.623544","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=565337 Win=8353 Len=0"
"429","0.623544","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=568197 Win=8353 Len=0"
"430","0.623544","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=570691 Win=8357 Len=0"
"431","0.623544","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=573551 Win=8350 Len=0"
"432","0.623544","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=576411 Win=8357 Len=0"
"433","0.623544","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=578905 Win=8361 Len=0"
"436","0.625527","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=584625 Win=8345 Len=0"
"437","0.625527","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=587119 Win=8353 Len=0"
"500","0.689663","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=589979 Win=8353 Len=0"
"503","0.689663","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=592839 Win=8353 Len=0"
"508","0.694477","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=595333 Win=8361 Len=0"
"514","0.695751","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=599623 Win=8349 Len=0"
"526","0.698128","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=602483 Win=8353 Len=0"
"528","0.698128","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=603547 Win=8361 Len=0"
"532","0.698128","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=607837 Win=8357 Len=0"
"533","0.698128","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=611761 Win=8361 Len=0"
"543","0.700003","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=616051 Win=8349 Len=0"
"547","0.708612","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=618911 Win=8353 Len=0"
"548","0.708612","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=619975 Win=8361 Len=0"
"549","0.708612","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=628189 Win=8361 Len=0"
"550","0.708612","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=633909 Win=8345 Len=0"
"551","0.708612","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=637833 Win=8335 Len=0"
"553","0.708612","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=640693 Win=8353 Len=0"
"554","0.708612","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=643553 Win=8353 Len=0"
"555","0.708612","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=646047 Win=8353 Len=0"
"563","0.710728","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=652831 Win=8361 Len=0"
"564","0.710728","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=648907 Win=8357 Len=0"
"584","0.780391","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=661045 Win=8338 Len=0"
"588","0.780391","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=668195 Win=8338 Len=0"
"589","0.780391","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=663905 Win=8353 Len=0"
"590","0.780391","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=669259 Win=8361 Len=0"
"591","0.780391","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=677473 Win=8361 Len=0"
"604","0.788551","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=685687 Win=8338 Len=0"
"605","0.788551","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=693901 Win=8338 Len=0"
"606","0.788551","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=688547 Win=8353 Len=0"
"607","0.788551","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=696761 Win=8353 Len=0"
"608","0.788551","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=699621 Win=8361 Len=0"
"609","0.788551","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=702115 Win=8361 Len=0"
"610","0.788551","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=706405 Win=8349 Len=0"
"611","0.788551","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=709265 Win=8353 Len=0"
"612","0.788551","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=710329 Win=8361 Len=0"
"613","0.788551","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=717479 Win=8342 Len=0"
"614","0.788551","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=718543 Win=8361 Len=0"
"625","0.854211","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=722833 Win=8349 Len=0"
"626","0.854211","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=726757 Win=8361 Len=0"
"627","0.854211","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=725693 Win=8353 Len=0"
"628","0.854211","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=732477 Win=8345 Len=0"
"630","0.854211","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=734971 Win=8353 Len=0"
"645","0.865038","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=743185 Win=8338 Len=0"
"646","0.865038","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=737831 Win=8353 Len=0"
